Run,Best_Fitness,Runtime
1,4.90185436540841e-15,0.3184807300567627
2,1.616671220425822e-14,0.30861639976501465
3,4.1091588340977556e-14,0.3376486301422119
4,2.7837169148881172e-14,0.31603336334228516
5,3.5517190665972536e-14,0.31388187408447266
6,2.2121606347675385e-14,0.3066585063934326
7,1.2485403816499923e-14,0.31551313400268555
8,3.193189201429996e-14,0.31779026985168457
9,2.4205066620000518e-14,0.3259882926940918
10,1.8160988830517072e-14,0.31163525581359863
11,7.83611182449125e-15,0.33989882469177246
12,5.465737197417514e-14,0.3039066791534424
13,1.777069389781227e-14,0.3175194263458252
14,9.419895411208534e-15,0.3062448501586914
15,2.6987619902336508e-14,0.3078029155731201
16,6.648725067768751e-14,0.30801987648010254
17,3.124570084897634e-14,0.2980835437774658
18,2.15317547563249e-14,0.29328298568725586
19,1.6345454373302128e-14,0.2878873348236084
20,3.1416785710064484e-14,0.2863314151763916
21,6.129521337021088e-14,0.2874464988708496
22,5.391844990111127e-15,0.29523396492004395
23,1.2051671344119772e-13,0.29596590995788574
24,3.917297196943951e-14,0.29200100898742676
25,8.079585561382503e-15,0.28713226318359375
26,1.642385974883134e-13,0.293168306350708
27,2.601066313208695e-14,0.29061436653137207
28,2.193452103871036e-13,0.31120800971984863
29,6.233955701241237e-14,0.2958242893218994
30,4.024972774796066e-14,0.3022501468658447
