Grid_Size,Time_sec_mean,Time_sec_median,Time_sec_std,Time_sec_min,Time_sec_max,Nodes_Expanded_mean,Nodes_Expanded_median,Nodes_Expanded_std,Path_Length_mean
10,0.00022428035736083985,0.00022041797637939453,2.9872081493283412e-05,0.000164031982421875,0.0002644062042236328,72.1,72.0,9.445163371329851,19.0
20,0.0008151266309950086,0.0008380413055419922,6.116882283046741e-05,0.0007143020629882812,0.0008993148803710938,278.1111111111111,278.0,25.111971470020258,39.0
30,0.001642155647277832,0.0015416145324707031,0.00045194737556289785,0.0012176036834716797,0.002813100814819336,615.6,614.0,51.39433604764029,59.0
40,0.002690474192301432,0.002635955810546875,0.00021611756518524747,0.0023899078369140625,0.0031468868255615234,1061.5555555555557,1042.0,65.11357598671552,79.0
50,0.004247456789016724,0.004258394241333008,0.00027708756685747516,0.0038776397705078125,0.004781961441040039,1614.875,1636.5,89.01113493747366,99.0
60,0.006240897708468967,0.006334781646728516,0.000438514280584665,0.005275726318359375,0.006794929504394531,2360.8888888888887,2419.0,159.52385749821593,119.0
