Type,Time_mean,Time_median,Time_std,Time_min,Time_max,Path_Length_mean,Path_Length_max,Nodes_mean,Fitness_mean,Fitness_min
Continuous,0.0032052516937255858,0.0031059980392456055,0.0013308959892753473,0.0007548332214355469,0.005731344223022461,0.0,0,0.0,0.001484271720230418,8.174948313058601e-05
Discrete,6.175041198730469e-05,7.212162017822266e-05,3.036019628330151e-05,9.298324584960938e-06,0.00012063980102539062,18.966666666666665,35,18.966666666666665,0.0,0.0
