Grid_Size,Time_sec_mean,Time_sec_median,Time_sec_std,Time_sec_min,Time_sec_max,Nodes_Expanded_mean,Nodes_Expanded_median,Nodes_Expanded_std,Path_Length_mean,Path_Length_max
10,0.0001434485117594401,0.00014829635620117188,3.644627858635333e-05,9.1552734375e-05,0.0002028942108154297,83.44444444444444,85.0,7.037597443572471,19.0,19
20,0.0005459520551893446,0.0004639625549316406,0.00013470994917723545,0.00042557716369628906,0.0008068084716796875,340.55555555555554,341.0,9.04310664416702,39.0,39
30,0.0012873172760009765,0.0012683868408203125,0.00021261618205144575,0.0010073184967041016,0.001569986343383789,766.5,764.0,13.87443692551161,59.0,59
40,0.001917070812649197,0.0018000602722167969,0.0001804426160397829,0.00177001953125,0.0022945404052734375,1355.3333333333333,1351.0,12.144957801491119,79.0,79
50,0.0033056020736694338,0.003140687942504883,0.0003702295529425627,0.0030198097229003906,0.004119157791137695,2128.6,2126.0,10.93617849159378,99.0,99
60,0.004651837878757053,0.004498004913330078,0.0003299903867944607,0.0043981075286865234,0.0052683353424072266,3056.8888888888887,3062.0,16.87782898097699,119.0,119
