Grid_Size,Time_sec_mean,Time_sec_median,Time_sec_std,Time_sec_min,Time_sec_max,Nodes_Expanded_mean,Nodes_Expanded_median,Nodes_Expanded_std,Path_Length_mean,Path_Length_max
10,8.888542652130127e-05,7.545948028564453e-05,4.071290451035375e-05,4.172325134277344e-05,0.00018215179443359375,49.0625,50.0,13.38391447472176,32.5,49
20,0.00045639590213173315,0.00041413307189941406,0.00019468305450784216,0.000133514404296875,0.0008914470672607422,157.10526315789474,150.0,52.64967525154896,95.0,129
30,0.0004891157150268555,0.0003879070281982422,0.00026066574134060006,0.00023436546325683594,0.001024484634399414,259.625,199.5,119.13067055408807,162.25,193
40,0.0008225190012078537,0.0007605552673339844,0.00032498300518330966,0.0004124641418457031,0.001522064208984375,481.2631578947368,462.0,183.00784503684326,243.0,299
50,0.0011706590652465821,0.0009598731994628906,0.0007606820969378507,0.0004162788391113281,0.003612995147705078,716.6,644.0,398.87227872696553,329.5,459
60,0.0017589267931486432,0.0013885498046875,0.0011297341184982803,0.0006122589111328125,0.00473785400390625,1092.2105263157894,892.0,627.040099634551,437.7368421052632,675
