Grid_Size,Time_sec_mean,Time_sec_median,Time_sec_std,Time_sec_min,Time_sec_max,Nodes_Expanded_mean,Nodes_Expanded_median,Nodes_Expanded_std,Total_Cost_mean
10,0.0003355110392850988,0.0003352165222167969,0.00010062600567271934,0.0002143383026123047,0.0005285739898681641,84.05882352941177,85.0,4.160387425398235,18.0
20,0.0013829783389442845,0.0013692378997802734,0.0004076630519305219,0.0008375644683837891,0.0021619796752929688,338.4736842105263,340.0,6.801702573233932,38.0
30,0.0019661320580376517,0.0019077062606811523,0.00018585241175627987,0.0017974376678466797,0.002589702606201172,768.1111111111111,767.5,11.302726838552204,58.0
40,0.003499118905318411,0.003484487533569336,0.0001912243213853445,0.003246784210205078,0.003973960876464844,1355.8947368421052,1351.0,14.444894279995067,78.0
50,0.005529115074559262,0.00530242919921875,0.0004847209241228632,0.005117654800415039,0.007168769836425781,2121.315789473684,2126.0,18.217978396136775,98.10526315789474
60,0.00833684868282742,0.008064746856689453,0.0008174547440074846,0.007789134979248047,0.011281967163085938,3052.8333333333335,3054.0,23.157389876286953,118.0
