Algorithm,Optimal Result,Runtime (seconds)
BFS,59,0.0011492000194266438
DFS,163,0.0003425999893806875
UCS,59,0.0017985000158660114
GBFS,59,0.0001716000260785222
A*,59,0.0014752999995835125
Hill Climbing,Failed,0.0034973621368408203
ACO,65,0.0
