Test Function,Algorithm,Trial,Best Score,Time (s)
Sphere,PSO,35,4.211852066397436e-07,0.069752
Sphere,PSO,36,2.359270535722215e-07,0.079766
Sphere,PSO,37,1.6802722007560417e-08,0.064429
Sphere,PSO,38,6.900037279154663e-08,0.065813
Sphere,PSO,39,4.285519924099741e-08,0.074209
Sphere,PSO,40,5.4098847523147365e-09,0.070711
Sphere,PSO,41,6.047434422979716e-07,0.078001
Sphere,PSO,42,1.6713523931017293e-08,0.076715
Sphere,ABC,22,2.233509440251762e-06,0.130981
Sphere,ABC,23,8.996110723788275e-07,0.169309
Sphere,ABC,24,8.485708855154123e-05,0.146269
Sphere,ABC,25,4.8788812231572535e-06,0.130379
Sphere,ABC,26,2.7446033953263136e-06,0.125349
Sphere,ABC,27,6.710880822987148e-05,0.127600
Sphere,ABC,28,3.3130609896770866e-05,0.146297
Sphere,ABC,29,1.1653884792200085e-06,0.150265
Sphere,ABC,30,2.940659978692203e-05,0.138031
Sphere,ABC,31,2.933929980887804e-06,0.145975
Sphere,ABC,32,6.38777858678247e-05,0.225732
Sphere,ABC,33,6.832151279079814e-06,0.159615
Sphere,ABC,34,1.2050515911126384e-06,0.150003
Sphere,ABC,35,3.2509274928168186e-05,0.123113
Sphere,ABC,36,2.3684208966745402e-06,0.106996
Sphere,ABC,37,4.0237319748810994e-05,0.113404
Sphere,ABC,38,2.053980471755825e-06,0.111617
Sphere,ABC,39,3.193944208816791e-05,0.115060
Sphere,ABC,40,6.772703602764029e-06,0.114838
Sphere,ABC,41,2.4333640601996913e-05,0.115359
Sphere,ABC,42,1.8986554718934705e-06,0.151411
Sphere,Firefly,22,2.5951169211242837e-06,0.408576
Sphere,Firefly,23,2.3659263425916687e-06,0.302846
Sphere,Firefly,24,1.823321636341522e-06,0.365371
Sphere,Firefly,25,1.1351732697545012e-06,0.314696
Sphere,Firefly,26,3.5579416311749417e-06,0.309754
Sphere,Firefly,27,9.979390663026365e-06,0.354869
Sphere,Firefly,28,3.1311440021326938e-06,0.303006
Sphere,Firefly,29,7.9069910373311e-06,0.307150
