Test Function,Algorithm,Trial,Best Score,Time (s)
Knapsack,PSO-binary,22,20,0.050183
Knapsack,PSO-binary,23,20,0.051719
Knapsack,PSO-binary,24,20,0.053273
Knapsack,PSO-binary,25,20,0.055564
Knapsack,PSO-binary,26,20,0.052673
Knapsack,PSO-binary,27,20,0.055205
Knapsack,PSO-binary,28,20,0.053187
Knapsack,PSO-binary,29,20,0.050718
Knapsack,PSO-binary,30,20,0.058649
Knapsack,PSO-binary,31,20,0.049129
Knapsack,PSO-binary,32,20,0.067047
Knapsack,PSO-binary,33,20,0.049969
Knapsack,PSO-binary,34,20,0.065849
Knapsack,PSO-binary,35,20,0.138175
Knapsack,PSO-binary,36,20,0.068410
Knapsack,PSO-binary,37,20,0.049968
Knapsack,PSO-binary,38,20,0.059826
Knapsack,PSO-binary,39,20,0.053441
Knapsack,PSO-binary,40,20,0.061920
Knapsack,PSO-binary,41,20,0.055197
Knapsack,PSO-binary,42,20,0.056819
Knapsack,ABC-binary,22,20,0.164792
Knapsack,ABC-binary,23,20,0.173519
Knapsack,ABC-binary,24,20,0.183052
Knapsack,ABC-binary,25,20,0.175298
Knapsack,ABC-binary,26,20,0.180604
Knapsack,ABC-binary,27,20,0.182649
Knapsack,ABC-binary,28,20,0.182411
Knapsack,ABC-binary,29,20,0.184802
Knapsack,ABC-binary,30,20,0.182204
Knapsack,ABC-binary,31,20,0.179197
Knapsack,ABC-binary,32,20,0.173531
Knapsack,ABC-binary,33,20,0.178996
Knapsack,ABC-binary,34,20,0.176214
Knapsack,ABC-binary,35,20,0.190043
Knapsack,ABC-binary,36,20,0.215090
Knapsack,ABC-binary,37,20,0.200044
Knapsack,ABC-binary,38,20,0.180473
Knapsack,ABC-binary,39,20,0.169187
Knapsack,ABC-binary,40,20,0.168268
Knapsack,ABC-binary,41,20,0.309189
Knapsack,ABC-binary,42,20,0.231779
Knapsack,FA-binary,22,20,0.183511
Knapsack,FA-binary,23,20,0.193228
Knapsack,FA-binary,24,18,0.189706
Knapsack,FA-binary,25,20,0.180472
Knapsack,FA-binary,26,20,0.182686
Knapsack,FA-binary,27,20,0.205000
Knapsack,FA-binary,28,20,0.205056
Knapsack,FA-binary,29,20,0.217062
Knapsack,FA-binary,30,20,0.199335
Knapsack,FA-binary,31,20,0.206135
Knapsack,FA-binary,32,20,0.202597
Knapsack,FA-binary,33,20,0.195092
Knapsack,FA-binary,34,18,0.195664
Knapsack,FA-binary,35,20,0.200284
Knapsack,FA-binary,36,20,0.235480
Knapsack,FA-binary,37,20,0.189906
Knapsack,FA-binary,38,20,0.204572
Knapsack,FA-binary,39,20,0.201765
Knapsack,FA-binary,40,20,0.211752
Knapsack,FA-binary,41,20,0.218326
Knapsack,FA-binary,42,18,0.217161
Knapsack,CS-binary,22,0.0,0.082903
Knapsack,CS-binary,23,0.0,0.083812
Knapsack,CS-binary,24,0.0,0.074811
Knapsack,CS-binary,25,0.0,0.079228
Knapsack,CS-binary,26,0.0,0.072014
Knapsack,CS-binary,27,0.0,0.081224
Knapsack,CS-binary,28,0.0,0.071787
Knapsack,CS-binary,29,0.0,0.075029
Knapsack,CS-binary,30,0.0,0.083361
Knapsack,CS-binary,31,0.0,0.073974
Knapsack,CS-binary,32,0.0,0.083427
Knapsack,CS-binary,33,0.0,0.087738
Knapsack,CS-binary,34,0.0,0.078632
Knapsack,CS-binary,35,0.0,0.079774
Knapsack,CS-binary,36,0.0,0.080673
Knapsack,CS-binary,37,0.0,0.083336
Knapsack,CS-binary,38,0.0,0.075680
Knapsack,CS-binary,39,0.0,0.080113
Knapsack,CS-binary,40,0.0,0.079973
Knapsack,CS-binary,41,0.0,0.079981
Knapsack,CS-binary,42,0.0,0.084474
