Algorithm,Dimension,Runtime
TLBO,10,0.12576351165771485
SimulatedAnnealing,10,0.001121187210083008
HillClimbing,10,0.0007639884948730469
TLBO,30,0.13006901741027832
SimulatedAnnealing,30,0.001210498809814453
HillClimbing,30,0.0008137226104736328
TLBO,50,0.13343210220336915
SimulatedAnnealing,50,0.0010750770568847656
HillClimbing,50,0.0008756637573242188
TLBO,100,0.13846511840820314
SimulatedAnnealing,100,0.0011024951934814453
HillClimbing,100,0.0009265422821044921
